point_id;loss_sum_2013;loss_sum_2014;loss_sum_2015;loss_sum_2016;loss_sum_2017;loss_sum_2018;loss_sum_2019
206215_0;0;0;0;0;0;0;0
206216_0;206;1651;216;993;1787;83;15
206234_0;0;0;0;1;0;0;0
63204_0;0;0;0;0;0;0;0
63213_0;0;0;0;0;1;0;0
63215_0;277;14;0;46;191;1466;33
63218_0;4;8;132;112;7;7;25
63230_0;140;705;181;727;690;899;587
63231_0;19;4;0;7;52;2;1
63237_0;3;1;0;0;2;25;87
63242_0;30;62;0;595;9600;711;4
63247_0;16;70;29;223;83;66;57
63250_0;101;23;25;0;0;0;35
63254_0;2;15;10;24;406;234;12
35380_0;198;480;1201;754;935;2024;1731
35386_0;0;2;9;9;14;1;3
35408_0;44;167;104;656;134;84;16
35409_0;558;2000;1701;2167;1598;646;947
35415_0;100;510;427;2390;3427;515;2531
35424_0;276;631;91;573;5950;1475;97
163053_0;2089;85;157;1257;2505;310;137
163061_0;0;0;0;0;0;0;0
163064_0;326;1384;598;1233;2477;2458;1650
163068_0;100;319;407;730;367;39;68
163074_0;511;385;103;381;155;292;251
163080_0;968;854;510;259;365;415;923
163094_0;16;78;39;1130;15813;426;1
163095_0;13;10;284;31;16;13;70
163099_0;73;94;55;226;312;914;977
163106_0;24;13;10;6230;302;226;294
163108_0;0;0;647;1929;823;1840;4735
163113_0;471;1303;756;1247;479;4180;436
113833_0;1;4;0;3;3;0;0
113834_0;0;0;0;0;0;0;0
113838_0;0;3;0;20;17;0;0
113845_0;293;411;856;945;1098;689;548
113846_0;12;146;14;1477;2039;20;848
113857_0;16;33;496;1321;0;232;221
113858_0;268;743;626;425;1004;895;342
113865_0;566;0;0;0;97;3;0
113875_0;0;1;0;0;1;0;0
113880_0;130;267;104;390;346;56;190
138353_0;65;14;278;1197;1503;552;2128
138360_0;57;44;423;64;735;88;352
138361_0;48;241;380;16;372;1420;395
138373_0;0;0;0;0;0;0;0
138378_0;4;46;5;0;0;0;0
138380_0;0;0;2446;985;1428;6187;583
138401_0;366;814;398;467;712;500;790
138403_0;139;104;411;791;4163;2646;1792
198311_0;95;94;320;73;378;218;145
198316_0;2;0;0;0;94;171;27
198326_0;57;3;13;96;23;22;4
198333_0;3426;109;16;512;3274;1686;1863
198343_0;0;0;45;15;17;22;0
198344_0;4;21;0;0;0;0;0
198346_0;0;0;0;0;0;0;0
198354_0;1207;203;136;334;1322;188;294
167508_0;0;0;0;0;25;0;0
167522_0;13;0;0;54;265;3;0
167525_0;10;59;82;314;460;192;368
167535_0;48;240;94;64;134;139;298
167546_0;456;1289;3029;1269;325;1049;772
167548_0;2;0;0;0;5;0;0
167553_0;225;3;0;3;101;2;36
167562_0;41;36;0;72;1;0;0
7089_0;89;91;321;2199;682;837;396
7092_0;151;394;266;406;382;1083;735
7098_0;1;0;0;0;11;0;136
7107_0;0;0;0;0;0;0;0
7117_0;11;0;3;66;26;0;0
7118_0;0;0;0;0;0;0;0
105530_0;42;28;843;727;787;489;64
105546_0;1;13;9;74;345;350;566
105551_0;335;63;91;84;105;84;195
105555_0;38;14;2;36;167;931;138
105561_0;0;0;0;0;0;0;0
105567_0;0;0;0;0;0;0;0
105571_0;1;33;18;32;33;23;25
105575_0;210;191;79;492;1343;114;167
148416_0;6;0;0;0;0;0;0
148426_0;282;732;746;974;1084;428;195
148430_0;0;0;0;0;0;0;0
148445_0;0;0;0;0;0;0;0
148462_0;305;606;892;789;217;201;122
148466_0;0;20;16;4737;3752;6;3386
148469_0;82;190;0;0;3;0;16
82294_0;0;5;0;0;1;0;0
82308_0;3;89;0;15;1;3;1
82340_0;124;62;515;424;392;14;2320
82345_0;3983;2556;2938;2153;1549;882;684
85466_0;70;616;98;367;49;1340;5961
85468_0;231;116;123;239;152;0;1771
85470_0;38;1892;248;802;156;24;214
85474_0;3;5;75;2544;17490;1605;40
85478_0;262;1006;650;998;1338;1149;1173
85488_0;193;128;0;20;6650;61;274
85497_0;12;16;4;4076;2206;903;0
85505_0;5;64;0;0;13;0;0
85515_0;3;34;0;0;8;0;0
44348_0;19;15;0;19;89;0;0
44350_0;3055;4634;14509;2000;7051;104;453
44366_0;0;0;0;0;0;0;0
44369_0;0;0;2;0;0;0;0
44374_0;368;1385;385;678;1134;236;9
44384_0;8;40;11;634;55;1873;783
44391_0;0;3;0;61;397;0;842
44392_0;96;282;140;1279;886;936;730
44397_0;5;0;0;0;0;5;0
44400_0;55;60;334;334;603;131;449
44402_0;163;217;48;516;164;422;246
77420_0;0;0;0;0;18;1;0
77443_0;0;0;0;0;0;0;0
77448_0;0;0;0;1;0;0;0
77453_0;0;0;2;0;0;0;0
77456_0;1;0;0;0;1;0;0
77467_0;2348;435;1071;535;629;1479;138
211318_0;35;1388;275;246;579;347;43
211323_0;614;1181;553;798;630;1125;247
211337_0;18;2;11;8611;606;25;74
211349_0;269;741;358;207;4815;138;78
211354_0;5;8;41;6;1;7;0
111637_0;1;313;0;3;1;12;3
111656_0;226;452;366;480;1841;243;352
111659_0;12;254;116;19;122;19;295
111679_0;1368;1760;2800;1986;1078;1657;1471
111681_0;568;421;433;863;1704;850;850
111687_0;0;0;0;0;0;2;0
111688_0;8;48;2234;20;12;48;9
142987_0;0;0;0;0;0;0;0
142998_0;5;0;0;0;965;2153;0
143006_0;296;542;891;2636;599;1190;622
143024_0;0;1;0;14377;3172;3;0
143025_0;38;3;3;50;39;104;1
107258_0;0;0;0;0;1;0;0
107259_0;0;0;0;0;1;0;0
107260_0;30;8;42;91;1166;20;335
107263_0;0;0;0;16;4106;539;0
107278_0;58;1;383;6812;5981;11;19
107280_0;57;963;171;1490;904;494;424
107293_0;106;183;1107;1017;1347;821;394
224609_0;0;0;0;1;0;0;0
224617_0;354;847;918;479;692;706;292
224627_0;4;0;0;0;0;0;0
224630_0;172;117;190;375;338;498;466
224647_0;324;839;437;668;772;1067;279
69728_0;0;6;5;139;0;0;0
69732_0;4;575;24;3384;40;673;142
69733_0;0;0;0;0;0;0;0
69751_0;135;37;98;23;158;0;25
69756_0;46;912;129;441;583;468;184
69772_0;0;6;0;0;3;0;0
69778_0;196;185;203;274;376;455;115
55151_0;11;37;20;40;1412;2356;683
55164_0;1;4;44;7;60;1;13
55189_0;0;0;0;0;2;0;0
55192_0;58;490;93;470;141;541;2691
55195_0;1;0;0;0;15;0;0
55196_0;0;0;39;1614;67;21;0
55202_0;0;0;0;0;0;0;0
26611_0;15;199;16;170;2226;252;234
26613_0;38;260;890;83;477;0;0
26624_0;10;197;27;207;69;77;39
26629_0;90;0;0;0;0;5;0
26636_0;21;14;13;582;195;0;47
