,year,month,size,cloud_cover
479,2007,12,0,2.0
480,2007,1,0,5.0
481,2007,2,10,5.0
482,2007,3,11,5.0
483,2007,4,14,5.0
484,2007,5,39,5.0
485,2007,6,121,5.0
486,2007,7,99,5.0
487,2007,8,127,5.0
488,2007,9,75,5.0
489,2007,10,4,5.0
490,2007,11,0,5.0
491,2007,12,0,5.0
492,2007,1,0,10.0
493,2007,2,18,10.0
494,2007,3,21,10.0
495,2007,4,24,10.0
496,2007,5,57,10.0
497,2007,6,135,10.0
498,2007,7,128,10.0
499,2007,8,142,10.0
500,2007,9,107,10.0
501,2007,10,8,10.0
502,2007,11,0,10.0
503,2007,12,0,10.0
504,2008,1,39,100.0
505,2008,2,63,100.0
506,2008,3,72,100.0
507,2008,4,114,100.0
508,2008,5,177,100.0
509,2008,6,190,100.0
510,2008,7,247,100.0
511,2008,8,280,100.0
512,2008,9,219,100.0
513,2008,10,203,100.0
514,2008,11,134,100.0
515,2008,12,85,100.0
516,2008,1,0,0.0
517,2008,2,0,0.0
518,2008,3,0,0.0
519,2008,4,0,0.0
520,2008,5,0,0.0
521,2008,6,0,0.0
522,2008,7,0,0.0
523,2008,8,0,0.0
524,2008,9,0,0.0
525,2008,10,0,0.0
526,2008,11,0,0.0
527,2008,12,0,0.0
528,2008,1,0,1.0
529,2008,2,4,1.0
530,2008,3,2,1.0
531,2008,4,0,1.0
532,2008,5,12,1.0
533,2008,6,54,1.0
534,2008,7,115,1.0
535,2008,8,80,1.0
536,2008,9,26,1.0
537,2008,10,13,1.0
538,2008,11,0,1.0
539,2008,12,1,1.0
540,2008,1,0,2.0
541,2008,2,5,2.0
542,2008,3,2,2.0
543,2008,4,1,2.0
544,2008,5,13,2.0
545,2008,6,71,2.0
546,2008,7,133,2.0
547,2008,8,99,2.0
548,2008,9,35,2.0
549,2008,10,23,2.0
550,2008,11,0,2.0
551,2008,12,1,2.0
552,2008,1,3,5.0
553,2008,2,5,5.0
554,2008,3,7,5.0
555,2008,4,9,5.0
556,2008,5,25,5.0
557,2008,6,85,5.0
558,2008,7,150,5.0
559,2008,8,126,5.0
560,2008,9,54,5.0
561,2008,10,47,5.0
562,2008,11,2,5.0
563,2008,12,3,5.0
564,2008,1,5,10.0
565,2008,2,8,10.0
566,2008,3,9,10.0
567,2008,4,18,10.0
568,2008,5,45,10.0
569,2008,6,98,10.0
570,2008,7,164,10.0
571,2008,8,158,10.0
572,2008,9,81,10.0
573,2008,10,65,10.0
574,2008,11,12,10.0
575,2008,12,9,10.0
576,2009,1,79,100.0
577,2009,2,54,100.0
578,2009,3,97,100.0
579,2009,4,96,100.0
580,2009,5,143,100.0
581,2009,6,192,100.0
582,2009,7,240,100.0
583,2009,8,239,100.0
584,2009,9,238,100.0
585,2009,10,234,100.0
586,2009,11,150,100.0
587,2009,12,42,100.0
588,2009,1,0,0.0
589,2009,2,0,0.0
590,2009,3,0,0.0
591,2009,4,0,0.0
592,2009,5,0,0.0
593,2009,6,0,0.0
594,2009,7,0,0.0
595,2009,8,0,0.0
596,2009,9,0,0.0
597,2009,10,0,0.0
598,2009,11,0,0.0
599,2009,12,0,0.0
600,2009,1,4,1.0
601,2009,2,0,1.0
602,2009,3,1,1.0
603,2009,4,3,1.0
604,2009,5,2,1.0
605,2009,6,42,1.0
606,2009,7,74,1.0
607,2009,8,54,1.0
608,2009,9,35,1.0
609,2009,10,12,1.0
610,2009,11,0,1.0
611,2009,12,0,1.0
612,2009,1,8,2.0
613,2009,2,0,2.0
614,2009,3,1,2.0
615,2009,4,4,2.0
616,2009,5,7,2.0
617,2009,6,53,2.0
618,2009,7,89,2.0
619,2009,8,67,2.0
620,2009,9,56,2.0
621,2009,10,15,2.0
622,2009,11,2,2.0
623,2009,12,1,2.0
624,2009,1,11,5.0
625,2009,2,1,5.0
626,2009,3,2,5.0
627,2009,4,4,5.0
628,2009,5,15,5.0
629,2009,6,61,5.0
630,2009,7,109,5.0
631,2009,8,89,5.0
632,2009,9,80,5.0
633,2009,10,25,5.0
634,2009,11,8,5.0
635,2009,12,2,5.0
636,2009,1,15,10.0
637,2009,2,1,10.0
638,2009,3,8,10.0
639,2009,4,10,10.0
640,2009,5,23,10.0
641,2009,6,83,10.0
642,2009,7,135,10.0
643,2009,8,109,10.0
644,2009,9,95,10.0
645,2009,10,47,10.0
646,2009,11,15,10.0
647,2009,12,6,10.0
648,2010,1,42,100.0
649,2010,2,56,100.0
650,2010,3,39,100.0
651,2010,4,139,100.0
652,2010,5,157,100.0
653,2010,6,179,100.0
654,2010,7,159,100.0
655,2010,8,95,100.0
656,2010,9,158,100.0
657,2010,10,148,100.0
658,2010,11,70,100.0
659,2010,12,91,100.0
660,2010,1,0,0.0
661,2010,2,0,0.0
662,2010,3,0,0.0
663,2010,4,0,0.0
664,2010,5,0,0.0
665,2010,6,0,0.0
666,2010,7,0,0.0
667,2010,8,0,0.0
668,2010,9,0,0.0
669,2010,10,0,0.0
670,2010,11,0,0.0
671,2010,12,0,0.0
672,2010,1,0,1.0
673,2010,2,0,1.0
674,2010,3,0,1.0
675,2010,4,16,1.0
676,2010,5,23,1.0
677,2010,6,65,1.0
678,2010,7,59,1.0
679,2010,8,26,1.0
680,2010,9,34,1.0
681,2010,10,3,1.0
682,2010,11,2,1.0
683,2010,12,1,1.0
684,2010,1,3,2.0
685,2010,2,0,2.0
686,2010,3,1,2.0
687,2010,4,23,2.0
688,2010,5,34,2.0
689,2010,6,75,2.0
690,2010,7,73,2.0
691,2010,8,33,2.0
692,2010,9,47,2.0
693,2010,10,6,2.0
694,2010,11,3,2.0
695,2010,12,3,2.0
696,2010,1,6,5.0
697,2010,2,1,5.0
698,2010,3,2,5.0
699,2010,4,30,5.0
700,2010,5,43,5.0
701,2010,6,87,5.0
702,2010,7,88,5.0
703,2010,8,45,5.0
704,2010,9,57,5.0
705,2010,10,15,5.0
706,2010,11,4,5.0
707,2010,12,7,5.0
708,2010,1,9,10.0
709,2010,2,4,10.0
710,2010,3,5,10.0
711,2010,4,45,10.0
712,2010,5,55,10.0
713,2010,6,100,10.0
714,2010,7,105,10.0
715,2010,8,55,10.0
716,2010,9,77,10.0
717,2010,10,29,10.0
718,2010,11,5,10.0
719,2010,12,11,10.0
720,2011,1,49,100.0
721,2011,2,46,100.0
722,2011,3,87,100.0
723,2011,4,103,100.0
724,2011,5,128,100.0
725,2011,6,173,100.0
726,2011,7,149,100.0
727,2011,8,171,100.0
728,2011,9,154,100.0
729,2011,10,127,100.0
730,2011,11,28,100.0
731,2011,12,0,100.0
732,2011,1,0,0.0
733,2011,2,0,0.0
734,2011,3,0,0.0
735,2011,4,0,0.0
736,2011,5,0,0.0
737,2011,6,0,0.0
738,2011,7,0,0.0
739,2011,8,0,0.0
740,2011,9,0,0.0
741,2011,10,0,0.0
742,2011,11,0,0.0
743,2011,12,0,0.0
744,2011,1,1,1.0
745,2011,2,0,1.0
746,2011,3,1,1.0
747,2011,4,1,1.0
748,2011,5,26,1.0
749,2011,6,32,1.0
750,2011,7,44,1.0
751,2011,8,55,1.0
752,2011,9,24,1.0
753,2011,10,7,1.0
754,2011,11,0,1.0
755,2011,12,0,1.0
756,2011,1,2,2.0
757,2011,2,0,2.0
758,2011,3,2,2.0
759,2011,4,2,2.0
760,2011,5,34,2.0
761,2011,6,46,2.0
762,2011,7,50,2.0
763,2011,8,66,2.0
764,2011,9,36,2.0
765,2011,10,8,2.0
766,2011,11,1,2.0
767,2011,12,0,2.0
768,2011,1,3,5.0
769,2011,2,1,5.0
770,2011,3,4,5.0
771,2011,4,7,5.0
772,2011,5,45,5.0
773,2011,6,62,5.0
774,2011,7,69,5.0
775,2011,8,80,5.0
776,2011,9,45,5.0
777,2011,10,14,5.0
778,2011,11,2,5.0
779,2011,12,0,5.0
780,2011,1,3,10.0
781,2011,2,3,10.0
782,2011,3,10,10.0
783,2011,4,18,10.0
784,2011,5,51,10.0
785,2011,6,80,10.0
786,2011,7,87,10.0
787,2011,8,92,10.0
788,2011,9,57,10.0
789,2011,10,21,10.0
790,2011,11,3,10.0
791,2011,12,0,10.0
792,2012,1,0,100.0
793,2012,2,0,100.0
794,2012,3,0,100.0
795,2012,4,0,100.0
